,keyword,threshold,threshold_relax,algo,modularity,performance,coverage,nodes
217,telegraph,1.5,1.75,louvain,0.2189513022668786,0.9320512820512821,0.6072874493927125,105
218,steel,1.5,1.75,greedy,0.2603701500429638,0.9109445277361319,0.7138211382113822,116
219,steel,1.5,1.75,louvain,0.26103113226254215,0.9190404797601199,0.7105691056910569,116
220,elec,1.5,1.75,greedy,0.06313718484486829,0.764985994397759,0.5367504835589942,85
221,elec,1.5,1.75,louvain,0.06333640740920872,0.7761904761904762,0.3781431334622824,85
222,coal,1.5,1.75,greedy,0.2097731502439514,0.9170300387596899,0.7886524822695036,129
223,coal,1.5,1.75,louvain,0.21409687641466713,0.9287790697674418,0.774468085106383,129
224,telegraph,1.5,2.0,greedy,0.15845778813751482,0.8805161290322581,0.5936473165388828,125
225,telegraph,1.5,2.0,louvain,0.1585219699868878,0.8754838709677419,0.6035049288061336,125
226,steel,1.5,2.0,greedy,0.16563041269950587,0.8216089254257193,0.7228215767634855,131
227,steel,1.5,2.0,louvain,0.1663273703965152,0.8507339988256019,0.5618257261410788,131
228,elec,1.5,2.0,greedy,0.06587058682629458,0.7635810517166449,0.5146750524109015,118
229,elec,1.5,2.0,louvain,0.07529823121448248,0.7473562219324931,0.510482180293501,118
230,coal,1.5,2.0,greedy,0.12750363066209522,0.8092508558235809,0.4960582171012735,159
231,coal,1.5,2.0,louvain,0.15246132963322684,0.8442799140195845,0.5233474833232262,159
232,telegraph,1.5,2.25,greedy,0.14271957196935464,0.7924270639354438,0.5030581039755352,180
233,telegraph,1.5,2.25,louvain,0.14256084774840214,0.8239602731222843,0.5056065239551478,180
234,steel,1.5,2.25,greedy,0.15484864947904733,0.6814905480756154,0.6462933753943217,172
235,steel,1.5,2.25,louvain,0.16754717867129726,0.7757377940976472,0.5540220820189274,172
236,elec,1.5,2.25,greedy,0.08180612347824731,0.6198500362815448,0.5579387186629526,158
237,elec,1.5,2.25,louvain,0.08384587332500523,0.6636297669918568,0.5267409470752089,158
238,coal,1.5,2.25,greedy,0.1032855516344957,0.7513211854733015,0.46214719071485094,218
239,coal,1.5,2.25,louvain,0.11986979811199541,0.7373694668752379,0.4484304932735426,218
240,telegraph,1.75,1.75,greedy,0.2985817182743,0.9664523343584009,0.8524046434494196,147
241,telegraph,1.75,1.75,louvain,0.31293367325891275,0.9647749510763209,0.6666666666666666,147
242,steel,1.75,1.75,greedy,0.33459964831334504,0.9204874637898312,0.7312252964426877,142
243,steel,1.75,1.75,louvain,0.3418746669305185,0.9253820797123165,0.761528326745718,142
244,elec,1.75,1.75,greedy,0.08497066115702484,0.8335032279986408,0.7154545454545455,109
245,elec,1.75,1.75,louvain,0.09914834710743806,0.8476044852191641,0.5381818181818182,109
246,coal,1.75,1.75,greedy,0.29582440569041835,0.942329626461363,0.7608440797186401,168
247,coal,1.75,1.75,louvain,0.3081174092129151,0.9489592244083263,0.731535756154748,168
248,telegraph,1.75,2.0,greedy,0.1723377284860273,0.9264389777883927,0.8131115459882583,159
249,telegraph,1.75,2.0,louvain,0.1950005935945403,0.9252448053498925,0.6164383561643836,159
250,steel,1.75,2.0,greedy,0.18054996123202488,0.8600441501103753,0.7442550037064493,151
251,steel,1.75,2.0,louvain,0.1908178421706551,0.8923620309050773,0.8020756115641215,151
252,elec,1.75,2.0,greedy,0.0699728435209907,0.7573885658914729,0.3976697061803445,129
253,elec,1.75,2.0,louvain,0.0851460321566382,0.7882751937984496,0.5435663627152989,129
254,coal,1.75,2.0,greedy,0.1564990064130256,0.8506698187549251,0.6171396772398442,189
255,coal,1.75,2.0,louvain,0.17841691262473258,0.8868625464370146,0.5158597662771286,189
256,telegraph,1.75,2.25,greedy,0.1581450258927345,0.8235294117647058,0.5924674070497344,205
257,telegraph,1.75,2.25,louvain,0.1693064953214483,0.8379244380679101,0.45678416224046353,205
258,steel,1.75,2.25,greedy,0.16104763031855654,0.723028352862607,0.6518656716417911,182
259,steel,1.75,2.25,louvain,0.17015113332590784,0.7930908870135389,0.5432835820895522,182
260,elec,1.75,2.25,greedy,0.08737267266063038,0.6513671135348027,0.5692013129102844,163
261,elec,1.75,2.25,louvain,0.08868600938955896,0.6825721426948421,0.5434901531728665,163
262,coal,1.75,2.25,greedy,0.11004039064636431,0.7562321999929679,0.4914953033764915,239
263,coal,1.75,2.25,louvain,0.11846755300639907,0.8027495517035266,0.37446052297537447,239
264,telegraph,2.0,2.0,greedy,0.22941409641873886,0.9432278203189777,0.8744698897370653,203
265,telegraph,2.0,2.0,louvain,0.23995083598253594,0.9494708091498805,0.7540288379983037,203
266,steel,2.0,2.0,greedy,0.21981347154048952,0.8699391124223212,0.8789722785665991,179
267,steel,2.0,2.0,louvain,0.24244608197432527,0.9093591111669073,0.8154158215010142,179
268,elec,2.0,2.0,greedy,0.0988762205089267,0.8396624472573839,0.56882874475035,159
269,elec,2.0,2.0,louvain,0.11405842503640216,0.8522410636095852,0.49556696220251983,159
270,coal,2.0,2.0,greedy,0.1899725285233023,0.8645746164574617,0.6456427539720752,240
271,coal,2.0,2.0,louvain,0.20019198276095895,0.9042189679218968,0.5503129513721714,240
272,telegraph,2.0,2.25,greedy,0.1801556975203788,0.8696274047057141,0.6072710951526032,237
273,telegraph,2.0,2.25,louvain,0.19201864873053584,0.8590431237931774,0.6229802513464991,237
274,steel,2.0,2.25,greedy,0.15802940692240483,0.7757981828333587,0.6469750889679715,199
275,steel,2.0,2.25,louvain,0.1807128835754361,0.8226993553626719,0.5587188612099644,199
276,elec,2.0,2.25,greedy,0.09517242086377034,0.7233395406579765,0.5756862745098039,180
277,elec,2.0,2.25,louvain,0.10170006407791876,0.7451893234016139,0.502483660130719,180
278,coal,2.0,2.25,greedy,0.12089133228999759,0.7952338678355435,0.4854230860393458,269
279,coal,2.0,2.25,louvain,0.13629293906879905,0.8316318038062476,0.42403413131073714,269
280,telegraph,2.25,2.25,greedy,0.207363825848089,0.8701161276318645,0.6653306613226453,272
281,telegraph,2.25,2.25,louvain,0.2111793125328814,0.9022140221402214,0.593186372745491,272
282,steel,2.25,2.25,greedy,0.18056167234517492,0.812079701120797,0.6089367253750816,220
283,steel,2.25,2.25,louvain,0.191741248948444,0.8307181403071814,0.5645792563600783,220
284,elec,2.25,2.25,greedy,0.1001730652088668,0.7731121934096793,0.5889233707328718,214
285,elec,2.25,2.25,louvain,0.11136084281257959,0.8216401211004344,0.5292432561470518,214
286,coal,2.25,2.25,greedy,0.14052685367529524,0.7890559817667528,0.6137116818558409,314
287,coal,2.25,2.25,louvain,0.1538478764786194,0.8384037768869173,0.49502899751449875,314
