Unnamed: 0.1,Unnamed: 0,topic_id,topic,country,keyword,period
47.0,47.0,1880-1890_telegraph_fr_11,"['franc', 'somme', 'payer', 'frais', 'créer', 'fouqou', 'vente', 'création', 'obtenir', 'correspondance']",fr,telegraph,1880-1890
48.0,48.0,1880-1890_telegraph_fr_12,"['général', 'armée', 'guerre', 'colonel', 'militaire', 'officier', 'troupe', 'soldat', 'amiral', 'commandant']",fr,telegraph,1880-1890
49.0,49.0,1880-1890_telegraph_fr_13,"['bureau', 'abonné', 'employé', 'téléphone', 'poste', 'prochain', 'municipal', 'administration', 'parisien', 'chemin']",fr,telegraph,1880-1890
50.0,50.0,1880-1890_telegraph_fr_14,"['cochery', 'ministère', 'ministre', 'art', 'poste', 'ferry', 'singe', 'président', 'finance', 'portefeuille']",fr,telegraph,1880-1890
51.0,51.0,1880-1890_telegraph_fr_15,"['vieux', 'italien', 'long', 'tête', 'arriver', 'foule', 'route', 'côté', 'anglais', 'discours']",fr,telegraph,1880-1890
52.0,52.0,1880-1890_telegraph_fr_16,"['femme', 'cœur', 'père', 'jeune', 'enfant', 'pauvre', 'petit', 'mère', 'écrivain', 'théâtre']",fr,telegraph,1880-1890
53.0,53.0,1880-1890_telegraph_fr_17,"['empereur', 'lang', 'chinois', 'négrier', 'tonkin', 'russe', 'isle', 'czar', 'chine', 'mars']",fr,telegraph,1880-1890
54.0,54.0,1880-1890_telegraph_fr_18,"['boulanger', 'quesnay', 'dillon', 'buret', 'limouzin', 'général', 'rochefort', 'clermont', 'caffarel', 'thibaudin']",fr,telegraph,1880-1890
55.0,55.0,1880-1890_telegraph_fr_19,"['edison', 'électrique', 'kœchlin', 'blancsubé', 'rochefort', 'lumière', 'exposition', 'électricité', 'lampe', 'dubrugeaud']",fr,telegraph,1880-1890
56.0,56.0,1880-1890_telegraph_fr_20,"['prince', 'berlin', 'allemagne', 'lord', 'allemand', 'bismarck', 'lacour', 'turc', 'alexandre', 'pacha']",fr,telegraph,1880-1890
57.0,57.0,1880-1890_telegraph_fr_21,"['savoir', 'chose', 'coup', 'france', 'trop', 'point', 'pays', 'ailleurs', 'vrai', 'œuvre']",fr,telegraph,1880-1890
58.0,58.0,1890-1900_telegraph_fr_0,"['train', 'cheval', 'heure', 'gare', 'voiture', 'ville', 'tour', 'foule', 'neuf', 'route']",fr,telegraph,1890-1900
59.0,59.0,1890-1900_telegraph_fr_1,"['américain', 'navire', 'espagnol', 'escadre', 'bord', 'câble', 'croiseur', 'espagne', 'siam', 'port']",fr,telegraph,1890-1900
60.0,60.0,1890-1900_telegraph_fr_2,"['franc', 'administration', 'avril', 'million', 'dépense', 'travail', 'chiffre', 'nouveau', 'frais', 'saison']",fr,telegraph,1890-1900
61.0,61.0,1890-1900_telegraph_fr_3,"['lettre', 'dreyfu', 'journal', 'demander', 'justice', 'paty', 'affaire', 'police', 'procès', 'déclarer']",fr,telegraph,1890-1900
62.0,62.0,1890-1900_telegraph_fr_4,"['homme', 'femme', 'monde', 'petit', 'chose', 'bon', 'vouloir', 'fois', 'falloir', 'bien']",fr,telegraph,1890-1900
63.0,63.0,1890-1900_telegraph_fr_5,"['public', 'question', 'étranger', 'ministère', 'pouvoir', 'gouvernement', 'droit', 'etat', 'tion', 'cabinet']",fr,telegraph,1890-1900
64.0,64.0,1890-1900_telegraph_fr_6,"['tsar', 'empereur', 'russie', 'russe', 'livadia', 'octobre', 'impérial', 'souverain', 'bulletin', 'santé']",fr,telegraph,1890-1900
65.0,65.0,1890-1900_telegraph_fr_7,"['président', 'conseil', 'député', 'préfet', 'république', 'ministre', 'carnot', 'faure', 'dupuy', 'félix']",fr,telegraph,1890-1900
66.0,66.0,1890-1900_telegraph_fr_8,"['anglais', 'angleterre', 'grec', 'turc', 'boer', 'puissance', 'guerre', 'grèce', 'lord', 'troupe']",fr,telegraph,1890-1900
67.0,67.0,1890-1900_telegraph_fr_9,"['œuvre', 'peuple', 'lebon', 'pays', 'légion', 'exposition', 'grand', 'ecole', 'bel', 'chemin']",fr,telegraph,1890-1900
68.0,68.0,1890-1900_telegraph_fr_10,"['colonel', 'officier', 'commandant', 'major', 'lieutenant', 'général', 'capitaine', 'amiral', 'voulet', 'militaire']",fr,telegraph,1890-1900
69.0,69.0,1890-1900_telegraph_fr_11,"['allemand', 'bismarck', 'allemagne', 'empereur', 'berlin', 'chancelier', 'empire', 'alle', 'chinois', 'prince']",fr,telegraph,1890-1900
70.0,70.0,1890-1900_telegraph_fr_12,"['prix', 'neige', 'température', 'froid', 'course', 'zéro', 'orage', 'degré', 'thermomètre', 'pluie']",fr,telegraph,1890-1900
71.0,71.0,1890-1900_telegraph_fr_13,"['téléphone', 'poste', 'timbre', 'téléphonique', 'mougeot', 'facteur', 'bureau', 'centime', 'Monsieur', 'abonné']",fr,telegraph,1890-1900
72.0,72.0,1890-1900_telegraph_fr_14,"['prince', 'comte', 'princesse', 'orléan', 'mlle', 'docteur', 'mort', 'reine', 'famille', 'comtesse']",fr,telegraph,1890-1900
73.0,73.0,1890-1900_telegraph_fr_15,"['parole', 'porte', 'porter', 'placer', 'être', 'salle', 'ami', 'revenir', 'long', 'journaliste']",fr,telegraph,1890-1900
74.0,74.0,1900-1910_telegraph_fr_0,"['catastrophe', 'messin', 'torpille', 'sauver', 'secours', 'vapeur', 'victime', 'saintfol', 'cadavre', 'mort']",fr,telegraph,1900-1910
75.0,75.0,1900-1910_telegraph_fr_1,"['million', 'budget', 'siècle', 'franc', 'politique', 'capital', 'année', 'jamais', 'pays', 'livre']",fr,telegraph,1900-1910
76.0,76.0,1900-1910_telegraph_fr_2,"['science', 'simple', 'fournir', 'docteur', 'ancien', 'force', 'mouvement', 'ballon', 'point', 'électrique']",fr,telegraph,1900-1910
77.0,77.0,1900-1910_telegraph_fr_3,"['contre', 'pouvoir', 'faire', 'prendre', 'aucun', 'devoir', 'rien', 'ment', 'tion', 'vouloir']",fr,telegraph,1900-1910
78.0,78.0,1900-1910_telegraph_fr_4,"['empereur', 'russie', 'allemagne', 'dépêche', 'prince', 'allemand', 'puissance', 'comte', 'ambassadeur', 'delcasser']",fr,telegraph,1900-1910
79.0,79.0,1900-1910_telegraph_fr_5,"['figaro', 'adresse', 'télégraphique', 'pari', 'lettre', 'donner', 'bien', 'père', 'artiste', 'Monsieur']",fr,telegraph,1900-1910
80.0,80.0,1900-1910_telegraph_fr_6,"['grève', 'poste', 'téléphone', 'etat', 'bureau', 'service', 'syndicat', 'travail', 'télégraphe', 'ouvrier']",fr,telegraph,1900-1910
81.0,81.0,1900-1910_telegraph_fr_7,"['ministre', 'président', 'général', 'conseil', 'république', 'loubet', 'député', 'cardinal', 'chef', 'colonel']",fr,telegraph,1900-1910
82.0,82.0,1900-1910_telegraph_fr_8,"['marchand', 'police', 'juge', 'madrid', 'garde', 'crispi', 'incendie', 'perquisition', 'ment', 'tuer']",fr,telegraph,1900-1910
83.0,83.0,1900-1910_telegraph_fr_9,"['train', 'heure', 'gare', 'hôtel', 'nuit', 'voiture', 'foule', 'ligne', 'monter', 'route']",fr,telegraph,1900-1910
84.0,84.0,1900-1910_telegraph_fr_10,"['pékin', 'chinois', 'tsin', 'amiral', 'russe', 'légation', 'troupe', 'chine', 'japonais', 'boer']",fr,telegraph,1900-1910
85.0,85.0,1900-1910_telegraph_fr_11,"['prince', 'comte', 'princesse', 'comité', 'président', 'exposition', 'mlle', 'comtesse', 'membre', 'institut']",fr,telegraph,1900-1910
86.0,86.0,1900-1910_telegraph_fr_12,"['petit', 'femme', 'jeune', 'homme', 'voir', 'ville', 'enfant', 'loin', 'perdre', 'fille']",fr,telegraph,1900-1910
87.0,87.0,1900-1910_telegraph_fr_13,"['prix', 'bord', 'côte', 'vent', 'pluie', 'température', 'télégraphie', 'passager', 'course', 'navire']",fr,telegraph,1900-1910
88.0,88.0,1910-1920_telegraph_fr_0,"['bien', 'long', 'mort', 'passer', 'terre', 'devoir', 'aller', 'avoir', 'travail', 'ver']",fr,telegraph,1910-1920
89.0,89.0,1910-1920_telegraph_fr_1,"['attaque', 'kilomètre', 'ennemi', 'combat', 'avion', 'raid', 'nuit', 'blessé', 'aviateur', 'perte']",fr,telegraph,1910-1920
90.0,90.0,1910-1920_telegraph_fr_2,"['sultan', 'espagnol', 'tanger', 'maroc', 'ksar', 'colonel', 'lyautey', 'colonne', 'achille', 'regnault']",fr,telegraph,1910-1920
91.0,91.0,1910-1920_telegraph_fr_3,"['gare', 'train', 'mécanicien', 'revolver', 'liège', 'incendie', 'bruxelle', 'attentat', 'cottin', 'arrêter']",fr,telegraph,1910-1920
92.0,92.0,1910-1920_telegraph_fr_4,"['navire', 'couler', 'port', 'vapeur', 'bord', 'équipage', 'marin', 'passager', 'côte', 'tonne']",fr,telegraph,1910-1920
93.0,93.0,1910-1920_telegraph_fr_5,"['turc', 'bulgare', 'italien', 'serbe', 'turquie', 'grèce', 'constantinople', 'lisbonne', 'grec', 'serbie']",fr,telegraph,1910-1920
94.0,94.0,1910-1920_telegraph_fr_6,"['empereur', 'ambassadeur', 'france', 'comte', 'belge', 'autriche', 'suisse', 'tsar', 'clemenceau', 'contre']",fr,telegraph,1910-1920
95.0,95.0,1910-1920_telegraph_fr_7,"['caillal', 'budget', 'cabinet', 'ministre', 'finance', 'conseil', 'bolo', 'poincarer', 'ministère', 'justice']",fr,telegraph,1910-1920
96.0,96.0,1910-1920_telegraph_fr_8,"['république', 'peuple', 'contre', 'ouvrier', 'président', 'socialiste', 'soldat', 'parti', 'révolution', 'chef']",fr,telegraph,1910-1920
